,Unnamed: 0,Symbol,Name,Sector
337,343,NCLH,Norwegian Cruise Line,Consumer Discretionary
338,344,NRG,NRG Energy,Utilities
339,345,NUE,Nucor Corp.,Materials
340,346,NVDA,Nvidia Corporation,Information Technology
341,347,ORLY,O'Reilly Automotive,Consumer Discretionary
342,348,OXY,Occidental Petroleum,Energy
343,349,OMC,Omnicom Group,Consumer Discretionary
344,350,OKE,ONEOK,Energy
345,351,ORCL,Oracle Corp.,Information Technology
346,352,PCAR,PACCAR Inc.,Industrials
347,353,PKG,Packaging Corporation of America,Materials
348,354,PH,Parker-Hannifin,Industrials
349,355,PAYX,Paychex Inc.,Information Technology
350,356,PYPL,PayPal,Information Technology
351,357,PNR,Pentair Ltd.,Industrials
352,358,PBCT,People's United Financial,Financials
353,359,PEP,PepsiCo Inc.,Consumer Staples
354,360,PKI,PerkinElmer,Health Care
355,361,PRGO,Perrigo,Health Care
356,362,PFE,Pfizer Inc.,Health Care
357,363,PCG,PG&E Corp.,Utilities
358,364,PM,Philip Morris International,Consumer Staples
359,365,PSX,Phillips 66,Energy
360,366,PNW,Pinnacle West Capital,Utilities
361,367,PXD,Pioneer Natural Resources,Energy
362,368,PNC,PNC Financial Services,Financials
363,369,RL,Polo Ralph Lauren Corp.,Consumer Discretionary
364,370,PPG,PPG Industries,Materials
365,371,PPL,PPL Corp.,Utilities
367,373,PFG,Principal Financial Group,Financials
368,374,PG,Procter & Gamble,Consumer Staples
369,375,PGR,Progressive Corp.,Financials
370,376,PLD,Prologis,Real Estate
371,377,PRU,Prudential Financial,Financials
372,378,PEG,Public Serv. Enterprise Inc.,Utilities
373,379,PSA,Public Storage,Real Estate
374,380,PHM,Pulte Homes Inc.,Consumer Discretionary
375,381,PVH,PVH Corp.,Consumer Discretionary
376,382,QRVO,Qorvo,Information Technology
377,383,QCOM,QUALCOMM Inc.,Information Technology
378,384,PWR,Quanta Services Inc.,Industrials
379,385,DGX,Quest Diagnostics,Health Care
380,386,RRC,Range Resources Corp.,Energy
381,387,RJF,Raymond James Financial Inc.,Financials
382,388,RTN,Raytheon Co.,Industrials
383,389,O,Realty Income Corporation,Real Estate
384,390,RHT,Red Hat Inc.,Information Technology
385,391,REG,Regency Centers Corporation,Real Estate
386,392,REGN,Regeneron,Health Care
387,393,RF,Regions Financial Corp.,Financials
388,394,RSG,Republic Services Inc,Industrials
389,395,RMD,ResMed,Health Care
390,396,RHI,Robert Half International,Industrials
391,397,ROK,Rockwell Automation Inc.,Industrials
392,398,COL,Rockwell Collins,Industrials
393,399,ROP,Roper Technologies,Industrials
394,400,ROST,Ross Stores,Consumer Discretionary
395,401,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
396,402,SPGI,"S&P Global, Inc.",Financials
397,403,CRM,Salesforce.com,Information Technology
398,404,SBAC,SBA Communications,Real Estate
400,406,SLB,Schlumberger Ltd.,Energy
401,407,STX,Seagate Technology,Information Technology
402,408,SEE,Sealed Air,Materials
403,409,SRE,Sempra Energy,Utilities
404,410,SHW,Sherwin-Williams,Materials
405,411,SPG,Simon Property Group Inc,Real Estate
406,412,SWKS,Skyworks Solutions,Information Technology
407,413,SLG,SL Green Realty,Real Estate
408,414,SNA,Snap-On Inc.,Consumer Discretionary
409,415,SO,Southern Co.,Utilities
410,416,LUV,Southwest Airlines,Industrials
411,417,SWK,Stanley Black & Decker,Consumer Discretionary
