,MainLSTMlayers,MainLSTMNodes,MainLSTMDropout,FinalLSTMNodes,FinalLSTMDropout,FinalDenseNodes,FinalDenseDropout,LearningRate,Decay,Val_acc,Training_acc
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.003,3e-07,0.5059132575988771,0.6835057735443115
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.003,1e-06,0.5111694931983948,0.6768107414245605
"(2, 32, 0.15, 32, 0.25, 32, 0.2, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.2,0.003,3e-06,0.512635350227356,0.6761757731437683
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.0001,1e-07,0.5505415201187134,0.5520431995391846
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.0001,3e-07,0.5,0.5397070050239563
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.0001,1e-06,0.41516244411468506,0.5443331003189087
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.0001,3e-06,0.5306859016418457,0.5597532987594604
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.0003,1e-07,0.416967511177063,0.5975327491760254
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.0003,3e-07,0.5379061102867126,0.6198920607566833
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.0003,1e-06,0.5324909687042236,0.6129529476165771
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.0003,3e-06,0.5451263785362244,0.6152660250663757
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.001,1e-07,0.505415141582489,0.6592135429382324
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.001,3e-07,0.44043320417404175,0.6723207235336304
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.001,1e-06,0.4855595529079437,0.6530454754829407
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.001,3e-06,0.4476534426212311,0.6538165211677551
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.003,1e-07,0.49277979135513306,0.6530454754829407
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.003,3e-07,0.5072202086448669,0.6707786917686462
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.003,1e-06,0.4638989269733429,0.6569005250930786
"(2, 32, 0.15, 32, 0.25, 32, 0.25, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.25,0.003,3e-06,0.5397111773490906,0.6815728545188904
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.0001,1e-07,0.5342960357666016,0.5643793344497681
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.0001,3e-07,0.5036101341247559,0.5713184475898743
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.0001,1e-06,0.46750903129577637,0.5859676003456116
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.0001,3e-06,0.5108303427696228,0.5636083483695984
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.0003,1e-07,0.5559566617012024,0.6260601282119751
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.0003,3e-07,0.4314079284667969,0.643022358417511
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.0003,1e-06,0.47111913561820984,0.6044718623161316
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.0003,3e-06,0.5072202086448669,0.5936776995658875
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.001,1e-07,0.454873651266098,0.6422513723373413
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.001,3e-07,0.4422382712364197,0.6491904258728027
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.001,1e-06,0.5848375558853149,0.6746337413787842
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.001,3e-06,0.5812274217605591,0.6661526560783386
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.003,1e-07,0.4332129955291748,0.6661526560783386
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.003,3e-07,0.4386281669139862,0.6198920607566833
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.003,1e-06,0.5324909687042236,0.6152660250663757
"(2, 32, 0.15, 32, 0.25, 32, 0.3, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.25,32.0,0.3,0.003,3e-06,0.577617347240448,0.6260601282119751
"(2, 32, 0.15, 32, 0.25, 64, 0.15, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.25,64.0,0.15,0.0001,1e-07,0.4783393442630768,0.5620663166046143
"(2, 32, 0.15, 32, 0.25, 64, 0.15, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.25,64.0,0.15,0.0001,3e-07,0.4422382712364197,0.502698540687561
"(2, 32, 0.15, 32, 0.25, 64, 0.15, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.25,64.0,0.15,0.0001,1e-06,0.42057761549949646,0.5620663166046143
"(2, 32, 0.15, 32, 0.25, 64, 0.15, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.25,64.0,0.15,0.0001,3e-06,0.5234656929969788,0.5859676003456116
"(2, 32, 0.15, 32, 0.25, 64, 0.15, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.25,64.0,0.15,0.0003,1e-07,0.5613718628883362,0.6060138940811157
"(2, 32, 0.15, 32, 0.25, 64, 0.15, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.25,64.0,0.15,0.0003,3e-07,0.5342960357666016,0.629915177822113
"(2, 32, 0.15, 32, 0.25, 64, 0.15, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.25,64.0,0.15,0.0003,1e-06,0.5397111773490906,0.6306862235069275
"(2, 32, 0.15, 32, 0.25, 64, 0.15, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.25,64.0,0.15,0.0003,3e-06,0.5108303427696228,0.6561295390129089
