,MainLSTMlayers,MainLSTMNodes,MainLSTMDropout,FinalLSTMNodes,FinalLSTMDropout,FinalDenseNodes,FinalDenseDropout,LearningRate,Decay,Val_acc,Training_acc
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.0001,1e-06,0.4743758141994476,0.6062081456184387
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.0001,3e-06,0.5177398324012756,0.6055995225906372
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.0003,1e-07,0.5059132575988771,0.6725502014160156
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.0003,3e-07,0.4612352252006531,0.6579427719116211
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.0003,1e-06,0.4717476963996887,0.6652464866638184
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.0003,3e-06,0.5151116847991943,0.6555082201957703
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.001,1e-07,0.4901445508003235,0.7321972250938416
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.001,3e-07,0.4625492691993714,0.7248935103416443
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.001,1e-06,0.4730617702007294,0.7340231537818909
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.001,3e-06,0.5440210103988647,0.7145465612411499
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.003,1e-07,0.5059132575988771,0.7212416529655457
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.003,3e-07,0.5032851696014404,0.7498478293418884
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.003,1e-06,0.4980289041996002,0.7218502759933472
"(2, 32, 0.15, 32, 0.15, 64, 0.15, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.15,0.003,3e-06,0.5229960680007935,0.7547169923782349
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.0001,1e-07,0.5308803915977478,0.5885575413703918
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.0001,3e-07,0.5137976408004761,0.5916007161140442
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.0001,1e-06,0.4586071074008942,0.6122945547103882
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.0001,3e-06,0.4809461236000061,0.5569080710411072
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.0003,1e-07,0.4586071074008942,0.6871576309204102
